127.0.0.1 - - [26/Aug/2015:09:22:08 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:14 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:14 +0530] "GET /Day-02-Backbone/timerscript/timer.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:14 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:14 +0530] "GET /Day-02-Backbone/jslibs/underscore.js HTTP/1.1" 200 52919
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:14 +0530] "GET /Day-02-Backbone/jslibs/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:14 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:14 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:17 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:17 +0530] "GET /Day-02-Backbone/timerscript/timer.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:17 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:17 +0530] "GET /Day-02-Backbone/jslibs/underscore.js HTTP/1.1" 200 52919
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:17 +0530] "GET /Day-02-Backbone/jslibs/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:22:17 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:24:14 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:24:14 +0530] "GET /Day-02-Backbone/jslibs/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:24:14 +0530] "GET /Day-02-Backbone/jslibs/underscore.js HTTP/1.1" 200 52919
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:24:14 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:24:14 +0530] "GET /Day-02-Backbone/timerscript/timer.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:24:14 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:35:30 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:35:30 +0530] "GET /Day-02-Backbone/jslibs/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:35:30 +0530] "GET /Day-02-Backbone/jslibs/underscore.js HTTP/1.1" 200 52919
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:35:30 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:35:30 +0530] "GET /Day-02-Backbone/timerscript/timer.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:35:30 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:37:36 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:37:36 +0530] "GET /Day-02-Backbone/jslibs/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:37:36 +0530] "GET /Day-02-Backbone/jslibs/underscore.js HTTP/1.1" 200 52919
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:37:36 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:37:36 +0530] "GET /Day-02-Backbone/timerscript/timer.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Aug/2015:09:37:36 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:55 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:55 +0530] "GET /Day-02-Backbone/jslibs/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:55 +0530] "GET /Day-02-Backbone/jslibs/underscore.js HTTP/1.1" 200 52919
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:55 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:55 +0530] "GET /Day-02-Backbone/timerscript/timer.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:55 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:56 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:56 +0530] "GET /Day-02-Backbone/jslibs/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:56 +0530] "GET /Day-02-Backbone/timerscript/timer.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:56 +0530] "GET /Day-02-Backbone/jslibs/underscore.js HTTP/1.1" 200 52919
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:56 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:56 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2784
